epoch,train_loss,val_loss,train_mae,val_mae,train_rmse,val_rmse,train_r2,val_r2
55,663.4378662109375,1003.1337280273438,20.830378,26.155334,25.757288,31.672289,0.28674113750457764,0.004684031009674072
56,657.6345825195312,1003.37548828125,20.580729,26.103117,25.644386,31.676104,0.29298025369644165,0.004444301128387451
57,648.8623046875,992.220703125,20.531206,25.995798,25.472776,31.499537,0.3024112582206726,0.01551198959350586
58,641.7951049804688,989.4673461914062,20.3006,25.913961,25.333675,31.4558,0.3100091218948364,0.01824396848678589
59,635.87060546875,990.9579467773438,20.006628,25.86113,25.216475,31.479485,0.3163785934448242,0.016765058040618896
60,630.4847412109375,992.07421875,19.758354,25.82248,25.109455,31.49721,0.32216888666152954,0.015657484531402588
61,624.8765869140625,990.5652465820312,19.57336,25.776566,24.99753,31.473244,0.32819825410842896,0.0171547532081604
62,619.923828125,989.0458374023438,19.366493,25.706692,24.89827,31.449099,0.3335229158401489,0.018662214279174805
63,611.239013671875,967.26953125,19.572672,25.541702,24.723248,31.10096,0.3428598642349243,0.04026871919631958
64,605.197509765625,959.3972778320312,19.513594,25.446064,24.600763,30.974138,0.3493550419807434,0.048079729080200195
65,600.41357421875,961.1380004882812,19.266336,25.40159,24.50334,31.002228,0.35449814796447754,0.046352505683898926
66,594.741455078125,958.3875122070312,19.11439,25.343918,24.387323,30.957834,0.360596239566803,0.049081623554229736
67,585.3193969726562,942.457763671875,19.15715,25.205227,24.193375,30.699474,0.37072598934173584,0.06488722562789917
68,577.8046264648438,932.4000244140625,19.104683,25.095823,24.037567,30.535227,0.3788050413131714,0.07486659288406372
69,571.210693359375,926.3652954101562,18.986294,25.00839,23.900015,30.436249,0.38589411973953247,0.08085429668426514
70,564.3040771484375,920.3551025390625,18.851727,24.913378,23.755083,30.337355,0.39331942796707153,0.08681762218475342
71,555.5490112304688,904.4225463867188,18.92302,24.76566,23.570087,30.073618,0.40273189544677734,0.1026260256767273
72,549.9188842773438,890.3403930664062,19.077744,24.719452,23.45035,29.838572,0.4087848663330078,0.11659842729568481
73,545.6345825195312,882.0025024414062,19.135368,24.75035,23.358824,29.698526,0.4133908152580261,0.12487131357192993
74,538.3282470703125,883.95556640625,18.820719,24.710417,23.201902,29.73139,0.42124587297439575,0.12293350696563721
75,531.3399658203125,885.7227172851562,18.474548,24.623432,23.050812,29.761093,0.42875897884368896,0.12118011713027954
76,526.5281982421875,880.6260375976562,18.411146,24.595163,22.946201,29.675344,0.4339321255683899,0.12623709440231323
77,521.5850830078125,882.0947875976562,18.180557,24.514063,22.838238,29.700079,0.43924635648727417,0.12477982044219971
78,517.8975830078125,869.2240600585938,18.36223,24.569511,22.757362,29.482607,0.44321078062057495,0.13755017518997192
79,514.9849853515625,861.8638305664062,18.428171,24.592405,22.693281,29.357517,0.4463421106338501,0.1448531150817871
80,510.7691650390625,857.5575561523438,18.358118,24.561846,22.600203,29.284084,0.4508745074272156,0.14912575483322144
81,503.5343933105469,860.919677734375,18.035217,24.432915,22.439571,29.341433,0.4586525559425354,0.14578986167907715
82,499.45404052734375,856.1162719726562,17.995659,24.41014,22.348467,29.259464,0.4630393981933594,0.15055584907531738
83,495.20928955078125,855.8385620117188,17.872816,24.372833,22.2533,29.254717,0.46760284900665283,0.150831401348114
84,490.0627136230469,863.53857421875,17.559387,24.260788,22.13736,29.386026,0.47313594818115234,0.143191397190094
85,485.70855712890625,859.3682861328125,17.51515,24.249008,22.038797,29.314983,0.47781699895858765,0.1473292112350464
86,481.8063049316406,853.7144775390625,17.507015,24.242262,21.950087,29.218391,0.48201239109039307,0.15293896198272705
87,477.74432373046875,858.1993408203125,17.31171,24.160961,21.857365,29.295038,0.48637932538986206,0.1484890580177307
88,474.9417724609375,866.1571655273438,17.091656,24.064379,21.79316,29.43055,0.48939239978790283,0.14059311151504517
89,475.09228515625,878.9324340820312,16.89658,23.970053,21.796612,29.646793,0.48923057317733765,0.12791752815246582
90,472.9573059082031,879.1903076171875,16.831753,23.926884,21.747581,29.651144,0.49152588844299316,0.1276615858078003
91,469.1126708984375,873.1663208007812,16.815838,23.8786,21.65901,29.549387,0.4956591725349426,0.13363873958587646
92,465.56158447265625,869.8208618164062,16.78023,23.842789,21.576876,29.492727,0.49947696924209595,0.13695794343948364
93,462.7873840332031,871.1909790039062,16.706034,23.821646,21.512493,29.515944,0.5024595260620117,0.13559865951538086
94,459.8610534667969,873.367431640625,16.632042,23.83233,21.444372,29.552792,0.5056055784225464,0.1334390640258789
95,450.6803894042969,848.21142578125,16.730852,23.911095,21.229235,29.12407,0.5154756903648376,0.15839916467666626
96,446.09674072265625,837.2222900390625,16.774584,23.95839,21.121002,28.934793,0.5204035043716431,0.1693025827407837
97,442.5748291015625,829.8987426757812,16.808306,23.981033,21.037462,28.807964,0.5241899490356445,0.17656898498535156
98,439.62139892578125,819.9974975585938,16.897747,24.040157,20.96715,28.6356,0.5273651480674744,0.186393141746521
99,436.5324401855469,815.7848510742188,16.891546,24.091604,20.89336,28.561947,0.5306860208511353,0.19057291746139526
